scheduled_event_datetime,scheduled_event_datetime
2019-05-30,72.0
2019-05-31,72.0
2019-06-01,56.0
2019-06-02,65.0
2019-06-03,73.0
2019-06-04,73.0
2019-06-05,73.0
2019-06-06,74.0
2019-06-07,74.0
2019-06-08,61.0
2019-06-09,68.0
2019-06-10,74.0
2019-06-11,74.0
2019-06-12,74.0
2019-06-13,74.0
2019-06-14,74.0
2019-06-15,62.0
2019-06-16,67.0
2019-06-17,74.0
2019-06-18,74.0
2019-06-19,74.0
2019-06-20,74.0
2019-06-21,74.0
2019-06-22,63.0
2019-06-23,68.0
2019-06-24,74.0
2019-06-25,74.0
2019-06-26,74.0
2019-06-27,74.0
2019-06-28,74.0
2019-06-29,63.0
2019-06-30,60.0
2019-07-01,62.0
2019-07-02,62.0
2019-07-03,64.0
2019-07-04,55.0
2019-07-05,50.0
2019-07-06,61.0
2019-07-07,67.0
2019-07-08,74.0
2019-07-09,74.0
2019-07-10,74.0
2019-07-11,74.0
2019-07-12,74.0
2019-07-13,62.0
2019-07-14,68.0
2019-07-15,74.0
2019-07-16,74.0
2019-07-17,74.0
2019-07-18,74.0
2019-07-19,74.0
2019-07-20,62.0
2019-07-21,68.0
2019-07-22,74.0
2019-07-23,74.0
2019-07-24,74.0
2019-07-25,74.0
2019-07-26,74.0
2019-07-27,62.0
2019-07-28,68.0
2019-07-29,74.0
2019-07-30,74.0
2019-07-31,74.0
2019-08-01,74.0
2019-08-02,74.0
2019-08-03,62.0
2019-08-04,69.0
2019-08-05,74.0
2019-08-06,74.0
2019-08-07,74.0
2019-08-08,74.0
2019-08-09,74.0
2019-08-10,64.0
2019-08-11,69.0
2019-08-12,75.0
2019-08-13,75.0
2019-08-14,75.0
2019-08-15,75.0
2019-08-16,75.0
2019-08-17,65.0
2019-08-18,69.0
2019-08-19,74.0
2019-08-20,74.0
2019-08-21,74.0
2019-08-22,74.0
2019-08-23,75.0
2019-08-24,66.0
2019-08-25,66.0
2019-08-26,73.0
2019-08-27,73.0
2019-08-28,73.0
2019-08-29,73.0
2019-08-30,72.0
2019-08-31,56.0
2019-09-01,57.0
2019-09-02,65.0
2019-09-03,72.0
2019-09-04,71.0
2019-09-05,72.0
2019-09-06,72.0
2019-09-07,55.0
2019-09-08,65.0
2019-09-09,75.0
2019-09-10,75.0
2019-09-11,75.0
2019-09-12,75.0
2019-09-13,75.0
2019-09-14,58.0
2019-09-15,65.0
2019-09-16,75.0
2019-09-17,75.0
2019-09-18,75.0
2019-09-19,75.0
2019-09-20,75.0
2019-09-21,58.0
2019-09-22,65.0
2019-09-23,75.0
2019-09-24,75.0
2019-09-25,75.0
2019-09-26,75.0
2019-09-27,75.0
2019-09-28,58.0
2019-09-29,65.0
2019-09-30,74.0
2019-10-01,74.0
2019-10-02,75.0
2019-10-03,75.0
2019-10-04,75.0
2019-10-05,54.0
2019-10-06,65.0
2019-10-07,75.0
2019-10-08,75.0
2019-10-09,75.0
2019-10-10,75.0
2019-10-11,75.0
2019-10-12,55.0
2019-10-13,65.0
2019-10-14,75.0
2019-10-15,75.0
2019-10-16,75.0
2019-10-17,75.0
2019-10-18,75.0
2019-10-19,54.0
2019-10-20,65.0
2019-10-21,75.0
2019-10-22,75.0
2019-10-23,75.0
2019-10-24,75.0
2019-10-25,75.0
2019-10-26,51.0
2019-10-27,64.0
2019-10-28,64.0
2019-10-29,65.0
2019-10-30,64.0
2019-10-31,61.0
2019-11-01,62.0
2019-11-02,52.0
2019-11-03,67.0
2019-11-04,72.0
2019-11-05,71.0
2019-11-06,71.0
2019-11-07,72.0
2019-11-08,71.0
2019-11-09,58.0
2019-11-10,66.0
2019-11-11,73.0
2019-11-12,72.0
2019-11-13,72.0
2019-11-14,71.0
2019-11-15,71.0
2019-11-16,58.0
2019-11-17,66.0
2019-11-18,72.0
2019-11-19,71.0
2019-11-20,71.0
2019-11-21,69.0
2019-11-22,70.0
2019-11-23,57.0
2019-11-24,63.0
2019-11-25,70.0
2019-11-26,65.0
2019-11-27,68.0
2019-11-28,54.0
2019-11-29,55.0
2019-11-30,65.0
2019-12-01,67.0
2019-12-02,71.0
2019-12-03,70.0
2019-12-04,72.0
2019-12-05,72.0
2019-12-06,72.0
2019-12-07,61.0
2019-12-08,64.0
2019-12-09,72.0
2019-12-10,72.0
2019-12-11,72.0
2019-12-12,72.0
2019-12-13,72.0
2019-12-14,62.0
2019-12-15,64.0
2019-12-16,71.0
2019-12-17,72.0
2019-12-18,71.0
2019-12-19,71.0
2019-12-20,71.0
2019-12-21,53.0
2019-12-22,58.0
2019-12-23,62.0
2019-12-24,57.0
2019-12-25,49.0
2019-12-26,61.0
2019-12-27,61.0
2019-12-28,52.0
2019-12-29,57.0
2019-12-30,61.0
2019-12-31,54.0
