date,hourly_visibility
2019-06-27,10.0
2019-06-28,10.0
2019-06-29,10.0
2019-06-30,10.0
2019-07-01,10.0
2019-07-02,10.0
2019-07-03,10.0
2019-07-04,6.437
2019-07-05,10.0
2019-07-06,10.0
2019-07-07,10.0
2019-07-08,10.0
2019-07-09,10.0
2019-07-10,10.0
2019-07-11,8.047
2019-07-12,10.0
2019-07-13,10.0
2019-07-14,10.0
2019-07-15,10.0
2019-07-16,10.0
2019-07-17,8.047
2019-07-18,2.414
2019-07-19,8.047
2019-07-20,10.0
2019-07-21,10.0
2019-07-22,0.805
2019-07-23,4.023
2019-07-24,10.0
2019-07-25,10.0
2019-07-26,10.0
2019-07-27,10.0
2019-07-28,10.0
2019-07-29,10.0
2019-07-30,10.0
2019-07-31,1.609
2019-08-01,10.0
2019-08-02,10.0
2019-08-03,9.656
2019-08-04,10.0
2019-08-05,10.0
2019-08-06,10.0
2019-08-07,8.047
2019-08-08,10.0
2019-08-09,10.0
2019-08-10,10.0
2019-08-11,10.0
2019-08-12,10.0
2019-08-13,10.0
2019-08-14,0.402
2019-08-15,10.0
2019-08-16,10.0
2019-08-17,10.0
2019-08-18,9.656
2019-08-19,10.0
2019-08-20,10.0
2019-08-21,8.047
2019-08-22,0.201
2019-08-23,10.0
2019-08-24,10.0
2019-08-25,10.0
2019-08-26,10.0
2019-08-27,10.0
2019-08-28,4.828
2019-08-29,10.0
2019-08-30,10.0
2019-08-31,10.0
2019-09-01,10.0
2019-09-02,4.023
2019-09-03,10.0
2019-09-04,10.0
2019-09-05,10.0
2019-09-06,6.437
2019-09-07,10.0
2019-09-08,10.0
2019-09-09,10.0
2019-09-10,10.0
2019-09-11,10.0
2019-09-12,2.414
2019-09-13,10.0
2019-09-14,10.0
2019-09-15,10.0
2019-09-16,10.0
2019-09-17,10.0
2019-09-18,10.0
2019-09-19,10.0
2019-09-20,10.0
2019-09-21,10.0
2019-09-22,10.0
2019-09-23,10.0
2019-09-24,10.0
2019-09-25,10.0
2019-09-26,10.0
2019-09-27,10.0
2019-09-28,10.0
2019-09-29,10.0
2019-09-30,10.0
2019-10-01,10.0
2019-10-02,3.219
2019-10-03,2.414
2019-10-04,9.656
2019-10-05,10.0
2019-10-06,10.0
2019-10-07,8.047
2019-10-08,10.0
2019-10-09,4.023
2019-10-10,10.0
2019-10-11,10.0
2019-10-12,10.0
2019-10-13,10.0
2019-10-14,10.0
2019-10-15,10.0
2019-10-16,3.219
2019-10-17,10.0
2019-10-18,10.0
2019-10-19,10.0
2019-10-20,6.437
2019-10-21,10.0
2019-10-22,1.609
2019-10-23,10.0
2019-10-24,10.0
2019-10-25,10.0
2019-10-26,10.0
2019-10-27,1.609
2019-10-28,10.0
