,id,iata,icao,description
3682,14002,PAA,VYPA,"Pa-An, Burma: Hpa An"
3683,14003,PAD,EDLP,"Paderborn, Germany: Paderborn/Lippstadt"
3684,14004,PAE,KPAE,"Everett, WA: Snohomish County"
3685,14005,PAG,RPMP,"Pagadian, Philippines: Pagadian Airport"
3686,14006,PAH,KPAH,"Paducah, KY: Barkley Regional"
3687,14007,PAK,PHPA,"Hanapepe, HI: Port Allen"
3688,14009,PAM,KPAM,"Panama City, FL: Tyndall AFB"
3689,14010,PAN,VTSK,"Pattani, Thailand: Pattani Airport"
3690,14011,PAO,KPAO,"Palo Alto, CA: Palo Alto Airport"
3691,14012,PAP,MTPP,"Port-au-Prince, Haiti: Port Au Prince International"
3693,14015,PAS,LGPA,"Paros, Greece: Paros Airport"
3694,14016,PAT,VEPT,"Patna, India: Jai Prakash Narayan International Patna"
3695,14017,PAV,SBUF,"Paulo Alfonso, Brazil: Paulo Afonso"
3696,14018,PAX,MTPX,"Port-de-Paix, Haiti: Port-de-Paix Airport"
3697,14019,PAY,WBKP,"Pamol, Malaysia: Tungud/Pamol"
3699,14023,PBD,VAPR,"Porbandar, India: Porbandar Airport"
3700,14025,PBG,KPBG,"Plattsburgh, NY: Plattsburgh International"
3701,14026,PBH,VQPR,"Paro, Bhutan: Paro International"
3702,14027,PBI,KPBI,"West Palm Beach/Palm Beach, FL: Palm Beach International"
3704,14029,PBL,SVPC,"Puerto Cabello, Venezuela: General Bartolome Salom"
3705,14030,PBM,SMJP,"Zanderij, Suriname: Johan A. Pengel International"
3706,14031,PBN,FNPA,"Porto Amboim, Angola: Porto Amboim Airport"
3707,14032,PBO,YPBO,"Paraburdoo, Australia: Paraburdoo Airport"
3708,14033,PBR,MGPB,"Puerto Barrios, Guatemala: Puerto Barrios Airport"
3709,14034,PBX,SWPQ,"Pikeville, KY: Pike County Hatcher Field"
3710,14036,PBZ,FAPG,"Plettenberg Bay, South Africa: Plettenberg Bay Airport"
3711,14037,PCA,PAOC,"Portage Creek, AK: Portage Creek Airport"
3713,14039,PCD,KPDC,"Prairie Du Chien, WI: Prairie Du Chien Municipal"
3715,14041,PCG,MGPC,"Paso Caballos, Guatemala: Paso Caballos Airport"
3717,14043,PCL,SPCL,"Pucallpa, Peru: Captain FAP David Abensur Rengifo International"
3718,14044,PCT,K39N,"Princeton, NJ: Princeton Airport"
3719,14045,PDA,SKPD,"Puerto Inirida, Colombia: Puerto Inirida Airport"
3720,14046,PDB,K4K0,"Pedro Bay, AK: Pedro Bay Airport"
3721,14047,PDC,NWWQ,"Mueo, New Caledonia: Mueo Nickel"
3722,14048,PDG,WIEE,"Padang, Indonesia: Tabing"
3723,14050,PDK,KPDK,"Atlanta, GA: Dekalb Peachtree"
3724,14051,PDL,LPPD,"Ponta Delgada, Portugal: Ponta Delgada Airport"
3725,14052,PDP,SULS,"Maldonado, Uruguay: Capitan Corbeta C. A. Curbelo International"
3726,14053,PDS,MMPG,"Piedras Negras, Mexico: Piedras Negras International"
3727,14054,PDT,KPDT,"Pendleton, OR: Eastern Oregon Regional at Pendleton"
3728,14055,PDU,SUPU,"Paysandu, Uruguay: Tydeo Larre Borges International"
3729,14056,PDV,LBPD,"Plovdiv, Bulgaria: Plovdiv Airport"
3730,14057,PDX,KPDX,"Portland, OR: Portland International"
3731,14058,PDZ,SVPE,"Pedernales, Venezuela: Pedernales Airport"
3734,14061,PEA,YPSH,"Penneshaw, Australia: Penneshaw Airport"
3736,14063,PEE,USPP,"Perm, Russia: Bolshoe Savino"
3737,14064,PEG,LIRZ,"Perugia, Italy: Perugia S Francesco"
3738,14065,PEI,SKPE,"Pereira, Colombia: Matecana"
3739,14066,PEK,ZBAA,"Beijing, China: Capital International"
3740,14067,PEM,SPTU,"Puerto Maldonado, Peru: Padre Aldamiz"
3741,14068,PEN,WMKP,"Bayan Lepas, Malaysia: Penang International"
3743,14070,PEQ,KPEQ,"Pecos City, TX: Pecos Municipal"
3744,14071,PER,YPPH,"Perth, Australia: Perth International"
3745,14073,PEU,MHPL,"Puerto Lempira, Honduras: Puerto Lempira Airport"
3746,14074,PEW,OPPS,"Peshawar, Pakistan: Bacha Khan International"
3748,14076,PFB,SBPF,"Passo Fundo, Brazil: Passo Fundo Airport"
3750,14077,POD,GOSP,"Port Frederick, AK: Port Frederick Airport"
3752,14199,POD,GOSP,"Port Frederick, AK: Port Frederick Airport"
3754,14079,PFO,LCPH,"Pafos, Cyprus: Pafos International"
3755,14080,PFR,FZVS,"Ilebo, Congo (Kinshasa): Ilebo Airport"
3756,14081,PGA,KPGA,"Page, AZ: Page Municipal"
3757,14082,PGD,KPGD,"Punta Gorda, FL: Punta Gorda Airport"
3758,14083,PGF,LFMP,"Perpignan, France: Perpignan Rivesaltes"
3759,14084,PGH,VIPT,"Pantnagar, India: Pantnagar Airport"
3760,14085,PGI,FNCH,"Chitato, Angola: Chitato Airport"
3761,14086,PGK,WIPK,"Pangkalpinang, Indonesia: Depati Amir"
3762,14087,PGL,KPQL,"Pascagoula, MS: Jackson County"
3763,14088,PGM,KPGM,"Port Graham, AK: Port Graham Airport"
3764,14089,PGO,KPSO,"Pagosa Springs, CO: Stevens Field"
3765,14091,PGS,KL37,"Peach Springs, AZ: Peach Springs Dirt Strip"
3766,14092,PGV,KPGV,"Greenville, NC: Pitt Greenville"
3767,14093,PHA,VVPR,"Phan Rang, Vietnam: Phan Rang Airport"
3768,14094,PHB,SBPB,"Parnaiba, Brazil: Parnaiba Airport"
3769,14095,PHC,DNPO,"Port Harcourt, Nigeria: Port Harcourt Airport"
3770,14096,PHD,KPHD,"New Philadelphia, OH: Harry Clever Field"
3771,14097,PHE,YPPD,"Port Hedland, Australia: Port Hedland International"
3772,14098,PHF,KPHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International"
3773,14099,PHI,SNYE,"Pinheiro, Brazil: Pinheiro Airport"
