,Code_x,Description,Code_y,City: Airport
3258,13539,"Maroua, Cameroon: Salak",MVR,"Maroua, Cameroon: Salak"
3259,13540,"Burlington/Mount Vernon, WA: Skagit Regional",MVW,"Burlington/Mount Vernon, WA: Skagit Regional"
3260,13541,"Martha's Vineyard, MA: Martha's Vineyard Airport",MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport"
3261,13543,"Marion/Herrin, IL: Veterans Airport of Southern Illinois",MWA,"Marion/Herrin, IL: Veterans Airport of Southern Illinois"
3262,13544,"Milwaukee, WI: Lawrence J Timmerman",MWC,"Milwaukee, WI: Lawrence J Timmerman"
3263,13545,"Mianwali, Pakistan: Mianwali Airport",MWD,"Mianwali, Pakistan: Mianwali Airport"
3264,13546,"Moses Lake, WA: Grant County International",MWH,"Moses Lake, WA: Grant County International"
3265,13548,"Windom, MN: Windom Municipal",MWM,"Windom, MN: Windom Municipal"
3266,13549,"Middletown, OH: Middletown Regional/Hook Field",MWO,"Middletown, OH: Middletown Regional/Hook Field"
3267,13550,"Magwe, Burma: Magway",MWQ,"Magwe, Burma: Magway"
3268,13551,"Mwanza, Tanzania: Mwanza Airport",MWZ,"Mwanza, Tanzania: Mwanza Airport"
3269,13552,"Masamba, Indonesia: Andi Jemma",MXB,"Masamba, Indonesia: Andi Jemma"
3270,13553,"Monticello, UT: Monticello Airport",MXC,"Monticello, UT: Monticello Airport"
3271,13554,"Maxton, NC: Laurinburg-Maxton",MXE,"Maxton, NC: Laurinburg-Maxton"
3272,13555,"Montgomery, AL: Maxwell AFB",MXF,"Montgomery, AL: Maxwell AFB"
3273,13556,"Marlboro, MA: Marlboro Airport",MXG,"Marlboro, MA: Marlboro Airport"
3274,13557,"Moro, Papua New Guinea: Moro Airport",MXH,"Moro, Papua New Guinea: Moro Airport"
3275,13558,"Minna, Nigeria: Minna Airport",MXJ,"Minna, Nigeria: Minna Airport"
3276,13560,"Milan, Italy: Malpensa",MXP,"Milan, Italy: Malpensa"
3277,13561,"Maota, Samoa: Maota Airport",MXS,"Maota, Samoa: Maota Airport"
3278,13562,"Maintirano, Madagascar: Maintirano Airport",MXT,"Maintirano, Madagascar: Maintirano Airport"
3279,13563,"Mora, Sweden: Mora Airport",MXX,"Mora, Sweden: Mora Airport"
3280,13564,"McCarthy, AK: McCarthy Airport",MXY,"McCarthy, AK: McCarthy Airport"
3281,13565,"Moruya, Australia: Moruya Airport",MYA,"Moruya, Australia: Moruya Airport"
3282,13566,"Mayumba, Gabon: Mayumba Airport",MYB,"Mayumba, Gabon: Mayumba Airport"
3283,13567,"Maracay, Venezuela: Maracay Airport",MYC,"Maracay, Venezuela: Maracay Airport"
3284,13568,"Malindi, Kenya: Malindi Airport",MYD,"Malindi, Kenya: Malindi Airport"
3285,13569,"Miyake Jima, Japan: Miyake Jima Airport",MYE,"Miyake Jima, Japan: Miyake Jima Airport"
3286,13570,"San Diego, CA: Montgomery Gibbs Executive",MYF,"San Diego, CA: Montgomery Gibbs Executive"
3287,13571,"Mayaguana, The Bahamas: Mayaguana Airport",MYG,"Mayaguana, The Bahamas: Mayaguana Airport"
3288,13572,"Marble Canyon, AZ: Cliff Dwellers",MYH,"Marble Canyon, AZ: Cliff Dwellers"
3289,13573,"Matsuyama, Japan: Matsuyama Airport",MYJ,"Matsuyama, Japan: Matsuyama Airport"
3290,13574,"May Creek, AK: May Creek Airport",MYK,"May Creek, AK: May Creek Airport"
3291,13575,"McCall, ID: McCall Municipal",MYL,"McCall, ID: McCall Municipal"
3292,13576,"Mary, Turkmenistan: Mary Airport",MYP,"Mary, Turkmenistan: Mary Airport"
3293,13577,"Myrtle Beach, SC: Myrtle Beach International",MYR,"Myrtle Beach, SC: Myrtle Beach International"
3294,13578,"Myitkyina, Burma: Myitkyina Airport",MYT,"Myitkyina, Burma: Myitkyina Airport"
3295,13579,"Mekoryuk, AK: Mekoryuk Airport",MYU,"Mekoryuk, AK: Mekoryuk Airport"
3296,13580,"Marysville, CA: Yuba County",MYV,"Marysville, CA: Yuba County"
3297,13581,"Mtwara, Tanzania: Mtwara Airport",MYW,"Mtwara, Tanzania: Mtwara Airport"
3298,13582,"Miri, Malaysia: Miri Airport",MYY,"Miri, Malaysia: Miri Airport"
3299,13584,"Mocimboa Da Praia, Mozambique: Mocimboa Da Praia Airport",MZB,"Mocimboa Da Praia, Mozambique: Mocimboa Da Praia Airport"
3300,13585,"Makung, Taiwan: Ma Kung AB",MZG,"Makung, Taiwan: Ma Kung AB"
3301,13586,"Mopti, Mali: Ambodedjo",MZI,"Mopti, Mali: Ambodedjo"
3302,13587,"Marana, AZ: Pinal Airpark",MZJ,"Marana, AZ: Pinal Airpark"
3303,13588,"Marakei, Kiribati: Marakei Airport",MZK,"Marakei, Kiribati: Marakei Airport"
3304,13589,"Manizales, Colombia: La Nubia",MZL,"Manizales, Colombia: La Nubia"
3305,13590,"Metz, France: Metz-Nancy Metz-Frescaty",MZM,"Metz, France: Metz-Nancy Metz-Frescaty"
3306,13591,"Minj, Papua New Guinea: Minj Airport",MZN,"Minj, Papua New Guinea: Minj Airport"
3307,13592,"Manzanillo, Cuba: Sierra Maestra International",MZO,"Manzanillo, Cuba: Sierra Maestra International"
3308,13593,"Mazar-I-Sherif, Afghanistan: Mawlana Jalaluddin Muhammad Balkhi",MZR,"Mazar-I-Sherif, Afghanistan: Mawlana Jalaluddin Muhammad Balkhi"
3309,13596,"Pottstown, PA: Pottstown Municipal",N47,"Pottstown, PA: Pottstown Municipal"
3310,13597,"Robbinsville, NJ: Trenton-Robbinsville",N87,"Robbinsville, NJ: Trenton-Robbinsville"
3311,13598,"Narrabri, Australia: Narrabri Airport",NAA,"Narrabri, Australia: Narrabri Airport"
3312,13599,"North Adams, MA: Harriman-and-West",NAD,"North Adams, MA: Harriman-and-West"
3313,13600,"Nagpur, India: Dr. Baba Saheb Ambedkar International",NAG,"Nagpur, India: Dr. Baba Saheb Ambedkar International"
3314,13601,"Nakhon Ratchasima, Thailand: Nakhon Ratchasima Airport",NAK,"Nakhon Ratchasima, Thailand: Nakhon Ratchasima Airport"
3315,13602,"Nadi, Fiji: Nadi International",NAN,"Nadi, Fiji: Nadi International"
3316,13603,"Nanchong, China: Nanchong Airport",NAO,"Nanchong, China: Nanchong Airport"
3317,13604,"Naples, Italy: Capodichino",NAP,"Naples, Italy: Capodichino"
3318,13605,"Nassau, The Bahamas: Lynden Pindling International",NAS,"Nassau, The Bahamas: Lynden Pindling International"
3319,13607,"Napuka Islnd, French Polynesia: Napuka",NAU,"Napuka Islnd, French Polynesia: Napuka"
3320,13609,"Star Harbour, Solomon Islands: Nana",NAZ,"Star Harbour, Solomon Islands: Nana"
3321,13610,"Nambaiyufa, Papua New Guinea: Nambaiyufa Airport",NBA,"Nambaiyufa, Papua New Guinea: Nambaiyufa Airport"
3322,13611,"Naberevnye Chelny, Russia: Begishevo",NBC,"Naberevnye Chelny, Russia: Begishevo"
3323,13612,"New Orleans, LA: New Orleans NAS JRB",NBG,"New Orleans, LA: New Orleans NAS JRB"
3324,13613,"Newburgh, NY: Newburgh Airport",NBJ,"Newburgh, NY: Newburgh Airport"
